"seconds","traffic"
1.0,	15
2.0,	16
3.0,	15
4.0,	16
5.0,	15
6.0,	16
7.0,	15
8.0,	16
9.0,	15
10.0,	16
11.0,	15
12.0,	16
13.0,	15
14.0,	16
15.0,	15
16.0,	16
17.0,	15
18.0,	16
19.0,	15
20.0,	16
21.0,	15
22.0,	16
23.0,	15
24.0,	16
25.0,	15
26.0,	16
27.0,	15
28.0,	16
29.0,	15
30.0,	16
31.0,	15
32.0,	16
33.0,	15
34.0,	16
35.0,	15
36.0,	16
37.0,	15
38.0,	16
39.0,	15
40.0,	16
41.0,	15
42.0,	16
43.0,	15
44.0,	16
45.0,	15
46.0,	16
47.0,	15
48.0,	16
49.0,	15
50.0,	16
51.0,	15
52.0,	16
53.0,	15
54.0,	16
55.0,	15
56.0,	16
57.0,	15
58.0,	16
59.0,	15
60.0,	16
61.0,	15
62.0,	16
63.0,	15
64.0,	16
65.0,	15
66.0,	16
67.0,	15
68.0,	16
69.0,	15
70.0,	16
71.0,	15
72.0,	16
73.0,	15
74.0,	16
75.0,	15
76.0,	16
77.0,	15
78.0,	16
79.0,	15
80.0,	16
81.0,	15
82.0,	16
83.0,	15
84.0,	16
85.0,	15
86.0,	16
87.0,	15
88.0,	16
89.0,	15
90.0,	16
91.0,	15
92.0,	16
93.0,	15
94.0,	16
95.0,	15
96.0,	16
97.0,	15
98.0,	16
99.0,	15
100.0,	16
101.0,	15
102.0,	16
103.0,	15
104.0,	16
105.0,	15
106.0,	16
107.0,	15
108.0,	16
109.0,	15
110.0,	16
111.0,	15
112.0,	16
113.0,	15
114.0,	16
115.0,	15
116.0,	16
117.0,	15
118.0,	16
119.0,	15
120.0,	16
121.0,	15
122.0,	16
123.0,	15
124.0,	16
125.0,	15
126.0,	16
127.0,	15
128.0,	16
129.0,	15
130.0,	16
131.0,	15
132.0,	16
133.0,	15
134.0,	16
135.0,	15
136.0,	16
137.0,	15
138.0,	16
139.0,	15
140.0,	16
141.0,	15
142.0,	16
143.0,	15
144.0,	16
145.0,	15
146.0,	16
147.0,	15
148.0,	16
149.0,	15
150.0,	16
151.0,	15
152.0,	16
153.0,	15
154.0,	16
155.0,	15
156.0,	16
157.0,	15
158.0,	16
159.0,	15
160.0,	16
161.0,	15
162.0,	16
163.0,	15
164.0,	16
165.0,	15
166.0,	16
167.0,	15
168.0,	16
169.0,	15
170.0,	16
171.0,	15
172.0,	16
173.0,	15
174.0,	16
175.0,	15
176.0,	16
177.0,	15
178.0,	16
179.0,	15
180.0,	16
181.0,	15
182.0,	16
183.0,	15
184.0,	16
185.0,	15
186.0,	16
187.0,	15
188.0,	16
189.0,	15
190.0,	16
191.0,	15
192.0,	16
193.0,	15
194.0,	16
195.0,	15
196.0,	16
197.0,	15
198.0,	16
199.0,	15
200.0,	16
201.0,	15
202.0,	16
203.0,	15
204.0,	16
205.0,	15
206.0,	16
207.0,	15
208.0,	16
209.0,	15
210.0,	16
211.0,	15
212.0,	16
213.0,	15
214.0,	16
215.0,	15
216.0,	16
217.0,	15
218.0,	16
219.0,	15
220.0,	16
221.0,	15
222.0,	16
223.0,	15
224.0,	16
225.0,	15
226.0,	16
227.0,	15
228.0,	16
229.0,	15
230.0,	16
231.0,	15
232.0,	16
233.0,	15
234.0,	16
235.0,	15
236.0,	16
237.0,	15
238.0,	16
239.0,	15
240.0,	16
241.0,	15
242.0,	16
243.0,	15
244.0,	16
245.0,	15
246.0,	16
247.0,	15
248.0,	16
249.0,	15
250.0,	16
251.0,	15
252.0,	16
253.0,	15
254.0,	16
255.0,	15
256.0,	16
257.0,	15
258.0,	16
259.0,	15
260.0,	16
261.0,	15
262.0,	16
263.0,	15
264.0,	16
265.0,	15
266.0,	16
267.0,	15
268.0,	16
269.0,	15
270.0,	16
271.0,	15
272.0,	16
273.0,	15
274.0,	16
275.0,	15
276.0,	16
277.0,	15
278.0,	16
279.0,	15
280.0,	16
281.0,	15
282.0,	16
283.0,	15
284.0,	16
285.0,	15
286.0,	16
287.0,	15
288.0,	16
289.0,	15
290.0,	16
291.0,	15
292.0,	16
293.0,	15
294.0,	16
295.0,	15
296.0,	16
297.0,	15
298.0,	16
299.0,	15
300.0,	16
